City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Arani,IN,2021-07-29 02:09:05,12.6667,79.2833,82.42,53,100,11.3
120,Neryungri,RU,2021-07-29 02:09:05,56.6709,124.6491,69.51,57,100,11.43
121,Raudeberg,NO,2021-07-29 02:09:06,61.9875,5.1352,62.2,97,99,9.01
122,Kaitangata,NZ,2021-07-29 02:09:06,-46.2817,169.8464,53.92,73,18,7.54
123,Samagaltay,RU,2021-07-29 02:09:06,50.6022,95.0047,58.12,54,30,7.9
124,Cairns,AU,2021-07-29 02:09:07,-16.9167,145.7667,94.95,63,4,8.05
125,Murindo,CO,2021-07-29 02:09:07,6.9848,-76.7544,75.79,97,100,2.51
126,Naze,JP,2021-07-29 02:09:07,28.3667,129.4833,80.37,82,30,8.86
127,Khandbari,NP,2021-07-29 02:09:08,27.3747,87.2039,77.97,81,52,2.19
128,Obo,CF,2021-07-29 02:09:08,5.3998,26.4869,64.62,94,99,1.9
129,Butaritari,KI,2021-07-29 02:09:08,3.0707,172.7902,82.69,71,13,9.64
130,Saldanha,ZA,2021-07-29 02:09:09,-33.0117,17.9442,54.21,82,47,12.21
131,Springfield,US,2021-07-29 02:08:46,37.2153,-93.2982,85.23,80,1,3.44
132,Capao Da Canoa,BR,2021-07-29 02:09:09,-29.7456,-50.0097,45.27,70,35,22.53
133,Ponta Do Sol,PT,2021-07-29 02:09:09,32.6667,-17.1,72.23,80,18,6.78
134,Boguchany,RU,2021-07-29 02:09:10,58.3814,97.4531,63.46,89,76,5.46
135,Abu Dhabi,AE,2021-07-29 02:07:19,24.4667,54.3667,93.31,52,98,2.3
136,East Millcreek,US,2021-07-29 02:09:10,40.7,-111.8105,85.95,40,75,16.11
137,Garmsar,IR,2021-07-29 02:09:10,35.2182,52.3409,80.49,47,4,7.67
138,Ancud,CL,2021-07-29 02:09:11,-41.8697,-73.8203,44.13,92,8,4.9
139,Magadan,RU,2021-07-29 02:09:11,59.5667,150.8,48.47,81,100,12.39
140,Yumen,CN,2021-07-29 02:09:11,40.2833,97.2,85.77,17,0,14.58
141,Shangqiu,CN,2021-07-29 02:09:12,34.45,115.65,68.72,92,100,23.64
142,Leirvik,NO,2021-07-29 02:09:12,59.7798,5.5005,60.91,92,100,8.88
143,Ribeira Grande,PT,2021-07-29 02:09:12,38.5167,-28.7,70.77,87,16,8.88
144,La Palma,US,2021-07-29 02:07:22,33.8464,-118.0467,98.33,53,20,5.99
145,Nouadhibou,MR,2021-07-29 02:09:13,20.931,-17.0347,68.11,90,0,20.42
146,Bagepalli,IN,2021-07-29 02:09:13,13.7847,77.7931,71.94,75,80,15.35
147,Krasnoselkup,RU,2021-07-29 02:04:38,65.7,82.4667,61.88,74,0,11.14
148,Muroto,JP,2021-07-29 02:09:13,33.2833,134.15,81.0,77,0,8.9
149,Victoria Point,AU,2021-07-29 02:04:15,-27.5833,153.3,79.48,54,14,1.99
150,Ibra,OM,2021-07-29 02:09:14,22.6906,58.5334,85.87,48,41,6.02
151,Zhigansk,RU,2021-07-29 02:09:14,66.7697,123.3711,65.5,45,78,7.25
